label,e_cblp,e_cp,e_crlc,e_cparhdr,e_minalloc,e_maxalloc,e_ss,e_sp,e_csum,e_ip,e_cs,e_lfarlc,e_ovno,e_oemid,e_oeminfo,e_lfanew,Machine,NumberOfSections,CreationYear,PointerToSymbolTable,NumberOfSymbols,SizeOfOptionalHeader,IMAGE_FILE_RELOCS_STRIPPED,IMAGE_FILE_EXECUTABLE_IMAGE,IMAGE_FILE_LINE_NUMS_STRIPPED,IMAGE_FILE_LOCAL_SYMS_STRIPPED,IMAGE_FILE_AGGRESIVE_WS_TRIM,IMAGE_FILE_LARGE_ADDRESS_AWARE,IMAGE_FILE_BYTES_REVERSED_LO,IMAGE_FILE_32BIT_MACHINE,IMAGE_FILE_DEBUG_STRIPPED,IMAGE_FILE_REMOVABLE_RUN_FROM_SWAP,IMAGE_FILE_NET_RUN_FROM_SWAP,IMAGE_FILE_SYSTEM,IMAGE_FILE_DLL,IMAGE_FILE_UP_SYSTEM_ONLY,IMAGE_FILE_BYTES_REVERSED_HI,Magic,MajorLinkerVersion,MinorLinkerVersion,SizeOfCode,SizeOfInitializedData,SizeOfUninitializedData,AddressOfEntryPoint,BaseOfCode,BaseOfData,ImageBase,SectionAlignment,FileAlignment,MajorOperatingSystemVersion,MinorOperatingSystemVersion,MajorImageVersion,MinorImageVersion,MajorSubsystemVersion,MinorSubsystemVersion,SizeOfImage,SizeOfHeaders,CheckSum,Subsystem,DllCharacteristics,SizeOfStackReserve,SizeOfStackCommit,SizeOfHeapReserve,SizeOfHeapCommit,LoaderFlags,NumberOfRvaAndSizes,IMAGE_DLLCHARACTERISTICS_DYNAMIC_BASE,IMAGE_DLLCHARACTERISTICS_FORCE_INTEGRITY,IMAGE_DLLCHARACTERISTICS_NX_COMPAT,IMAGE_DLLCHARACTERISTICS_NO_ISOLATION,IMAGE_DLLCHARACTERISTICS_NO_SEH,IMAGE_DLLCHARACTERISTICS_NO_BIND,IMAGE_DLLCHARACTERISTICS_WDM_DRIVER,IMAGE_DLLCHARACTERISTICS_TERMINAL_SERVER_AWARE,IMAGE_DLLCHARACTERISTICS_HIGH_ENTROPY_VA,IMAGE_DLLCHARACTERISTICS_APPCONTAINER,IMAGE_DLLCHARACTERISTICS_GUARD_CF,entropy_text,entropy_data,entropy_file,hash_md5,hash_sha1,hash_sha256,file_size
1,64,1,0,2,0,65535,0,184,0,0,0,10,0,46080,52489,64,332,3,1992,0,0,224,0,1,1,1,0,0,1,1,1,0,0,0,0,0,1,267,2,25,51712,39424,0,94643,4096,57344,4194304,4096,512,4,0,0,0,4,0,102400,512,0,2,0,1048576,16384,1048576,4096,0,16,0,0,0,0,0,0,0,0,0,0,0,-1,-1,7.98130363217,0003c3dd20cd99cf4555ab7c9232ec9c,2c9ff52fdc9a9365010dbbcc42ef94abf53d188c,3bb55d96180930635341a79adbc4aa172744e2eccf6e920ff9c79738b3afc532,192902
1,144,3,0,4,0,65535,0,184,0,0,0,64,0,0,0,224,332,5,2013,0,0,224,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,267,10,0,114176,94720,0,66305,4096,118784,4194304,4096,512,5,1,0,0,5,1,217088,1024,0,3,33088,1048576,4096,1048576,4096,0,16,1,0,1,0,0,0,0,1,0,0,0,6.53591599992616,4.834877867812305,6.39508935522,000590557e79980e147c3ff6521ec5cc,dbf238e4e776b791960b395df39636b7b0bc50ec,70f155f34174715b73864355c728457320f51516601052d2221ce97a71019721,199684
0,144,3,0,4,0,65535,0,184,0,0,0,64,0,0,0,128,332,3,2017,0,0,224,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,267,11,0,35840,2048,0,43966,8192,49152,4194304,8192,512,4,0,0,0,4,0,65536,512,72801,3,34112,1048576,4096,1048576,4096,0,16,1,0,1,0,1,0,0,1,0,0,0,5.750783313062061,-1,5.88040316734,0006c099239df9bcaab4c3cbc85e6ff8,2c36e014cd6752c3b7e8da9cd8610e6f892d6b63,79074cecc567a6a015051c11a29225d39f3850cfa07773b0811c24445ef10373,42340
1,144,3,0,4,0,65535,0,184,0,0,0,64,0,0,0,240,332,4,2011,0,0,224,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,267,9,0,313344,122880,0,215039,4096,319488,4194304,4096,512,5,0,0,0,5,0,458752,4096,0,2,32768,1048576,4096,1048576,4096,0,16,0,0,0,0,0,0,0,1,0,0,0,6.610979046428813,4.692188078391074,6.65609575237,000fbf210ae21ff7604c025e1763a149,f592a8042298692ba01d7ab7725dfbf3ec808f25,9773e17f8daa5ff0cac306df30268e5a655271815a7eb5ca67cd9836e2e2aa91,440988
0,144,3,0,4,0,65535,0,184,0,0,0,64,0,0,0,272,332,4,2015,0,0,224,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,267,6,0,462848,4440064,0,307157,4096,466944,4194304,4096,4096,4,0,0,0,4,0,4907008,4096,0,3,0,1048576,4096,1048576,4096,0,16,0,0,0,0,0,0,0,0,0,0,0,6.373733707311329,4.14885853810663,6.147373085,00123e9b2a49b6750df39ad0e86508e2,a910fea619a8d6462d80651bed6ce2d73e57554f,483e249462d647684fa3aa0b3a9746424c7939108a069deeae9fc235a00191d3,614478
1,144,3,0,4,0,65535,0,184,0,0,0,64,0,0,0,128,332,6,2014,286720,5073,224,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,267,2,56,245760,285696,18944,4672,4096,249856,4194304,4096,512,4,0,1,0,4,0,319488,1024,542991,2,0,2097152,4096,1048576,4096,0,16,0,0,0,0,0,0,0,0,0,0,0,6.080451775497244,0.705049269986258,7.00742853963,00193e19e0d474a6dceadc57a55171df,01e195fbf4efe3e4f8682a6e9edb52f276dad959,8985f119e353958748346bc141330a04b4f0123cca938a8f94876d78e6b9441a,589958
0,144,3,0,4,0,65535,0,184,0,0,0,64,0,0,0,128,332,3,2017,0,0,224,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,267,6,0,11776,15872,0,19698,8192,24576,4194304,8192,512,4,0,0,0,4,0,40960,512,90376,2,0,1048576,4096,1048576,4096,0,16,0,0,0,0,0,0,0,0,0,0,0,5.868132974421429,-1,6.659972942,001aa84cea4c3e5636ca6e8de98c02fd,7caf9a1e038cc1f962ed3b734cf18cfcce9bb87e,4f9e00565a2028256bf052d7f862ccd79b095bd3524e25ddd8e9308c1ecd2a14,28076
1,80,2,0,4,15,65535,0,184,0,0,0,64,26,0,0,256,332,2,2011,0,0,224,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,267,2,25,294400,908800,0,298152,4096,299008,4194304,4096,512,4,0,4,7,4,0,1241088,1024,1039408,2,0,1048576,16384,1048576,4096,0,16,0,0,0,0,0,0,0,0,0,0,0,-1,-1,7.99776829437,002b7e714ab8769215c2ef684e0ccb5c,40acb004208677bdd273a4c1ed136b198099436a,a2aa3166524b8c576d17c0aa691f28816ee859d1c9bec6651f147e13daebe90f,986116
1,144,3,0,4,0,65535,0,184,0,0,0,64,0,0,0,240,332,5,2014,0,0,224,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,267,10,0,62464,28672,0,13925,4096,69632,4194304,4096,512,5,1,0,0,5,1,114688,1024,119148,2,33088,1048576,4096,1048576,4096,0,16,1,0,1,0,0,0,0,1,0,0,0,6.62514521079494,3.389136284762367,6.41760477316,002c963c15c87024b03a55e62a0a7fc6,8057b2c9623eb2e686f134e8327fa17d2db63476,98d832b308c2f1ee61f3056ffbdde046a2d3d392bf0361c033088fceab9083b6,98596
1,80,2,0,4,15,65535,0,184,0,0,0,64,26,0,0,256,332,3,1992,0,0,224,0,1,1,1,0,0,1,1,0,0,0,0,1,0,1,267,2,25,836096,673280,0,839892,4096,843776,4194304,4096,512,4,0,0,0,4,0,1552384,1024,906997,2,1,4096,1048576,1048576,4096,0,16,0,0,0,0,0,0,0,0,0,0,0,-1,-1,7.99540733581,002e4ed5e771266c3dd9f39d350414dc,f0eae66942f5e8b4dee0254a46bca289dad64908,2d0f0fd3dbeeac3ca08d40694a311374b40f9af977cb731f01e4795b61c244e9,847872
1,144,3,0,4,0,65535,0,184,0,0,0,64,0,0,0,128,332,6,1970,0,0,224,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,267,9,0,16384,12288,0,16911,4096,20480,4194304,4096,512,5,0,0,0,5,0,61440,1024,0,2,32768,1048576,4096,1048576,4096,0,16,0,0,0,0,0,0,0,1,0,0,0,6.213493988789968,0.0,7.97104512183,00331fe2822190482a69db85eab69d5a,dd6eb4be0a3c064110c0442808f0afb52e9addab,7681337e2a73f48e0ce17c25149cdae0014054ad9625bb4a74e36e0d24200f2b,467524
